"StudentID","ProgramName","ModuleCode","ModuleName","TotalMark","TotalGrade"
t050512,BSc Accounting and Finance,ACC301 ,Management Accounting (F2),59.00,C 
t050512,BSc Accounting and Finance,COM301 ,Business Communication,46.00,D 
t050512,BSc Accounting and Finance,ICT301 ,Business Information Systems,48.00,D 
t050512,BSc Accounting and Finance,PRO301 ,Corporate and Business Law (F4),54.00,C 
t050513,BBA with Project Management,COM301 ,Business Communication,48.00,D 
t050513,BBA with Project Management,MGT302 ,Foundations of Project Management,51.00,C 
t050513,BBA with Project Management,MGT303 ,Entrepreneurship,61.00,B 
t050513,BBA with Project Management,PRO301 ,Corporate and Business Law (F4),56.00,C 
t060001,BSc Accounting and Finance,ACC201 ,Introduction to Accounting,59.00,C 
t060001,BSc Accounting and Finance,ECO201 ,Principles of Microeconomics,56.00,C 
t060001,BSc Accounting and Finance,FIN201 ,Introduction to Finance,62.00,B 
t060001,BSc Accounting and Finance,QUA201 ,Mathematics for Finance and Business,64.00,B 
t060002,BBA with Project Management,ACC201 ,Introduction to Accounting,66.00,B 
t060002,BBA with Project Management,ECO201 ,Principles of Microeconomics,71.00,A 
t060002,BBA with Project Management,FIN201 ,Introduction to Finance,72.00,A 
t060002,BBA with Project Management,GEN201 ,Globalization,70.00,A 
t060003,BBA with Project Management,ACC201 ,Introduction to Accounting,53.00,C 
t060003,BBA with Project Management,ECO201 ,Principles of Microeconomics,60.00,B 
t060003,BBA with Project Management,FIN201 ,Introduction to Finance,56.00,C 
t060003,BBA with Project Management,GEN208 ,Career and Personal Development,72.00,A 
t060004,BSc Accounting and Finance,ACC201 ,Introduction to Accounting,66.00,B 
t060004,BSc Accounting and Finance,ECO201 ,Principles of Microeconomics,51.00,C 
t060004,BSc Accounting and Finance,FIN201 ,Introduction to Finance,62.00,B 
t060004,BSc Accounting and Finance,QUA201 ,Mathematics for Finance and Business,32.00,F 
t060005,BBA with Project Management,ACC201 ,Introduction to Accounting,57.00,C 
t060005,BBA with Project Management,ECO201 ,Principles of Microeconomics,61.00,B 
t060005,BBA with Project Management,FIN201 ,Introduction to Finance,63.00,B 
t060005,BBA with Project Management,GEN204 ,English Literature,3.00,F 
u010089,BBA with Project Management,ACC201 ,Introduction to Accounting,24.00,F 
u010089,BBA with Project Management,ICT301 ,Business Information Systems,34.00,F 
u010089,BBA with Project Management,MGT302 ,Foundations of Project Management,40.00,D 
u010089,BBA with Project Management,MGT402 ,Advanced Project Management,39.00,F 
u010094,BBA with Project Management,ICT301 ,Business Information Systems,77.00,A 
u010094,BBA with Project Management,MGT401 ,Cross-cultural Leadership,70.00,A 
u010094,BBA with Project Management,MGT402 ,Advanced Project Management,48.00,D 
u010144,BBA with Project Management,ACC201 ,Introduction to Accounting,22.00,F 
u010160,BBA with Project Management,ICT201 ,Intro to Programming with Python,40.00,D 
u010160,BBA with Project Management,ICT301 ,Business Information Systems,40.00,D 
u010160,BBA with Project Management,MGT402 ,Advanced Project Management,13.00,F 
u010189,BBA with Project Management,ICT301 ,Business Information Systems,20.00,F 
u010189,BBA with Project Management,MGT402 ,Advanced Project Management,40.00,D 
u010197,BBA with Project Management,MGT401 ,Cross-cultural Leadership,8.00,F 
u010197,BBA with Project Management,MGT402 ,Advanced Project Management,5.00,F 
u010197,BBA with Project Management,MGT404 ,Managing an e-Business,23.00,F 
u010203,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),0.00,F 
u010203,BSc Accounting and Finance,MGT302 ,Foundations of Project Management,0.00,F 
u010203,BSc Accounting and Finance,MGT303 ,Entrepreneurship,0.00,F 
u010203,BSc Accounting and Finance,PRO301 ,Corporate and Business Law (F4),20.00,F 
u010358,BBA with Project Management,ACC201 ,Introduction to Accounting,14.00,F 
u010358,BBA with Project Management,MGT402 ,Advanced Project Management,40.00,F 
u010382,BBA with Project Management,MGT402 ,Advanced Project Management,40.00,D 
u020028,BSc Accounting and Finance,FIN201 ,Introduction to Finance,40.00,D 
u020045,BBA with Project Management,ICT301 ,Business Information Systems,50.00,C 
u020045,BBA with Project Management,MGT401 ,Cross-cultural Leadership,26.00,F 
u020045,BBA with Project Management,MGT402 ,Advanced Project Management,44.00,D 
u020071,BBA with Project Management,ECO202 ,Principles of Macroeconomics,40.00,D 
u020071,BBA with Project Management,ICT301 ,Business Information Systems,47.00,D 
u020071,BBA with Project Management,MGT401 ,Cross-cultural Leadership,40.00,D 
u020071,BBA with Project Management,MGT402 ,Advanced Project Management,33.00,F 
u020079,BBA with Project Management,ICT301 ,Business Information Systems,38.00,F 
u020079,BBA with Project Management,MGT302 ,Foundations of Project Management,0.00,F 
u020079,BBA with Project Management,MGT401 ,Cross-cultural Leadership,41.00,F 
u020079,BBA with Project Management,MGT402 ,Advanced Project Management,44.00,D 
u020084,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,28.00,F 
u020084,BBA with E-Business and Digital Marketing,MGT302 ,Foundations of Project Management,40.00,D 
u020084,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,43.00,F 
u020084,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,25.00,F 
u030001,BBA with Project Management,COM301 ,Business Communication,40.00,D 
u030001,BBA with Project Management,ICT301 ,Business Information Systems,63.00,B 
u030001,BBA with Project Management,MGT401 ,Cross-cultural Leadership,69.00,B 
u030001,BBA with Project Management,MGT402 ,Advanced Project Management,46.00,F 
u030005,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,84.00,A*
u030005,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,64.00,B 
u030005,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,71.00,A 
u030007,BBA with Project Management,ICT301 ,Business Information Systems,52.00,C 
u030007,BBA with Project Management,MGT401 ,Cross-cultural Leadership,51.00,C 
u030007,BBA with Project Management,MGT402 ,Advanced Project Management,43.00,D 
u030007,BBA with Project Management,PRO301 ,Corporate and Business Law (F4),40.00,D 
u030008,BSc Banking and Finance,FIN401 ,Valuation and Securities Analysis,82.00,A*
u030008,BSc Banking and Finance,FIN402 ,Derivatives and Fin Risk Mgmt in Banking,80.00,A*
u030008,BSc Banking and Finance,MGT303 ,Entrepreneurship,72.00,A 
u030009,BBA with E-Business and Digital Marketing,ICT201 ,Intro to Programming with Python,31.00,F 
u030009,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,61.00,B 
u030009,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,50.00,C 
u030009,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,68.00,B 
u030010,BBA with Project Management,ICT301 ,Business Information Systems,76.00,A 
u030010,BBA with Project Management,MGT401 ,Cross-cultural Leadership,80.00,A*
u030010,BBA with Project Management,MGT402 ,Advanced Project Management,80.00,A*
u030011,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,74.00,A 
u030011,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,82.00,A*
u030011,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,77.00,A 
u030012,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,0.00,F 
u030012,BBA with E-Business and Digital Marketing,MGT302 ,Foundations of Project Management,0.00,F 
u030012,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,0.00,F 
u030012,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,28.00,F 
u030015,BBA with E-Business and Digital Marketing,ACC301 ,Management Accounting (F2),42.00,D 
u030015,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,50.00,C 
u030015,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,70.00,A 
u030016,BBA with Project Management,ICT301 ,Business Information Systems,63.00,B 
u030016,BBA with Project Management,MGT401 ,Cross-cultural Leadership,49.00,D 
u030016,BBA with Project Management,MGT402 ,Advanced Project Management,55.00,C 
u030018,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),64.00,B 
u030018,BSc Accounting and Finance,ACC402 ,International Taxation (F6),73.00,A 
u030018,BSc Accounting and Finance,MGT302 ,Foundations of Project Management,72.00,A 
u030019,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,72.00,A 
u030019,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,71.00,A 
u030019,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,68.00,B 
u030020,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,65.00,B 
u030020,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,34.00,F 
u030020,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,55.00,C 
u030021,BSc Banking and Finance,FIN401 ,Valuation and Securities Analysis,44.00,D 
u030021,BSc Banking and Finance,FIN402 ,Derivatives and Fin Risk Mgmt in Banking,60.00,B 
u030021,BSc Banking and Finance,MGT303 ,Entrepreneurship,51.00,C 
u030023,BSc Banking and Finance,FIN401 ,Valuation and Securities Analysis,22.00,F 
u030023,BSc Banking and Finance,FIN402 ,Derivatives and Fin Risk Mgmt in Banking,62.00,B 
u030023,BSc Banking and Finance,MGT303 ,Entrepreneurship,0.00,F 
u030024,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),75.00,A 
u030024,BSc Accounting and Finance,ACC402 ,International Taxation (F6),89.00,A*
u030024,BSc Accounting and Finance,MGT302 ,Foundations of Project Management,92.00,A*
u030029,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),62.00,B 
u030029,BSc Accounting and Finance,ACC402 ,International Taxation (F6),83.00,A*
u030029,BSc Accounting and Finance,MGT303 ,Entrepreneurship,66.00,B 
u030031,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),57.00,C 
u030031,BSc Accounting and Finance,ACC402 ,International Taxation (F6),76.00,A 
u030031,BSc Accounting and Finance,MGT302 ,Foundations of Project Management,81.00,A*
u030033,BBA with Project Management,ICT301 ,Business Information Systems,73.00,A 
u030033,BBA with Project Management,MGT401 ,Cross-cultural Leadership,83.00,A*
u030033,BBA with Project Management,MGT402 ,Advanced Project Management,79.00,A 
u030034,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,64.00,B 
u030034,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,63.00,B 
u030034,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,70.00,A 
u030035,BSc Accounting and Finance,ACC301 ,Management Accounting (F2),40.00,D 
u030035,BSc Accounting and Finance,ACC401 ,Audit and Assurance (F8),36.00,F 
u030035,BSc Accounting and Finance,ACC402 ,International Taxation (F6),77.00,A 
u030035,BSc Accounting and Finance,MGT303 ,Entrepreneurship,40.00,D 
u030036,BBA with Logistics and Supply Chain Management,ACC301 ,Management Accounting (F2),62.00,B 
u030036,BBA with Logistics and Supply Chain Management,MGT401 ,Cross-cultural Leadership,22.00,F 
u030036,BBA with Logistics and Supply Chain Management,MGT403 ,Logistics Solutions,45.00,F 
u030037,BBA with Project Management,ICT301 ,Business Information Systems,74.00,A 
u030037,BBA with Project Management,MGT401 ,Cross-cultural Leadership,69.00,B 
u030037,BBA with Project Management,MGT402 ,Advanced Project Management,81.00,A*
u030038,BSc Accounting and Finance,ACC301 ,Management Accounting (F2),40.00,D 
u030038,BSc Accounting and Finance,COM301 ,Business Communication,40.00,D 
u030038,BSc Accounting and Finance,GEN204 ,English Literature,34.00,F 
u030038,BSc Accounting and Finance,ICT301 ,Business Information Systems,41.00,D 
u030040,BBA with E-Business and Digital Marketing,ICT301 ,Business Information Systems,67.00,B 
u030040,BBA with E-Business and Digital Marketing,MGT401 ,Cross-cultural Leadership,63.00,B 
u030040,BBA with E-Business and Digital Marketing,MGT404 ,Managing an e-Business,71.00,A 
u030043,BSc Banking and Finance,FIN401 ,Valuation and Securities Analysis,63.00,B 
u030043,BSc Banking and Finance,FIN402 ,Derivatives and Fin Risk Mgmt in Banking,74.00,A 
u030043,BSc Banking and Finance,MGT302 ,Foundations of Project Management,91.00,A*
u030044,BBA with Project Management,ACC301 ,Management Accounting (F2),21.00,F 
u030044,BBA with Project Management,MGT401 ,Cross-cultural Leadership,57.00,C 
